id;user_id;movie_id;rank;created_at
a5a98b05-fa93-4c09-9f88-53ad1a1c0be8;b2fe374f-703a-43bf-8a4c-eec206fecebc;157336;1;2025-10-20 14:58:03.584411+00
dc544f36-0398-4151-b120-fab6fa1be224;b2fe374f-703a-43bf-8a4c-eec206fecebc;497;2;2025-10-24 17:15:33.079139+00
af3365f6-9f78-4eec-84f6-eee772333391;b2fe374f-703a-43bf-8a4c-eec206fecebc;550;3;2025-10-24 17:15:46.14254+00
3f341981-94ce-4192-9b0c-84d69f899aeb;8260c59d-f4b1-4c6e-830e-28cf747e7194;497;1;2025-10-28 12:47:44.361099+00
6c01c840-82b8-4903-a62e-8e6b8877ef96;8260c59d-f4b1-4c6e-830e-28cf747e7194;157336;2;2025-10-28 12:47:51.196952+00
a04dd999-2e2a-4470-90ac-2188567c8188;8260c59d-f4b1-4c6e-830e-28cf747e7194;550;3;2025-10-28 12:47:59.268288+00
fe65ec65-5472-4245-bc3e-5a78bd2f60bd;c79e4012-286f-4f96-ab68-fac865024e05;550;4;2025-10-20 16:22:02.682316+00
0d5a4a0f-397f-42c3-a569-c695d66ddc3b;8260c59d-f4b1-4c6e-830e-28cf747e7194;807;4;2025-10-28 12:48:05.312506+00
82e3b753-eba9-49d4-a1b0-e267b29c4348;8260c59d-f4b1-4c6e-830e-28cf747e7194;77338;5;2025-10-28 12:48:26.875316+00
bb790b0b-4cce-467a-abef-78959a599eb0;c79e4012-286f-4f96-ab68-fac865024e05;807;3;2025-10-20 16:21:52.643265+00
fbd46769-e2d8-4e6a-8726-9a0e38681a1d;c79e4012-286f-4f96-ab68-fac865024e05;497;1;2025-10-20 14:52:49.433043+00
ce88c7b4-1fed-4a74-9fe9-c7626c277312;c79e4012-286f-4f96-ab68-fac865024e05;157336;2;2025-10-20 16:21:24.538052+00
fdb51181-e5db-41fb-93c4-65cdc43d3214;c79e4012-286f-4f96-ab68-fac865024e05;13;7;2025-10-20 16:24:34.216267+00
6fbf9545-d6a9-4bda-aef5-f50f8a6fe8b8;c79e4012-286f-4f96-ab68-fac865024e05;496243;8;2025-10-20 16:27:38.113188+00
fd003067-fb73-4924-adcc-2f37f7b0930a;c79e4012-286f-4f96-ab68-fac865024e05;372058;9;2025-10-20 16:27:47.158208+00
440ff554-b9ec-4275-a735-6d091e2de773;c79e4012-286f-4f96-ab68-fac865024e05;122;10;2025-10-20 16:28:04.589372+00
954278b0-a6f6-4db4-a5f5-68ae91ecd5f8;c79e4012-286f-4f96-ab68-fac865024e05;11324;11;2025-10-20 16:28:12.509827+00
71c0ea1b-75eb-484e-b20e-a3d0f98e2560;c79e4012-286f-4f96-ab68-fac865024e05;635302;12;2025-10-20 16:28:28.893066+00
b1ea9f48-3747-4fd5-b2ac-bb207044300d;c79e4012-286f-4f96-ab68-fac865024e05;378064;13;2025-10-20 16:29:16.135408+00
8b98b20d-15f2-4fc1-9584-7a615438a28f;c79e4012-286f-4f96-ab68-fac865024e05;77338;5;2025-10-20 16:22:31.213546+00
396736af-4615-4de9-b159-f40ce8e325aa;c79e4012-286f-4f96-ab68-fac865024e05;278;6;2025-10-20 16:24:27.513205+00
